gene,assigned_count,unassigned_count,total_qv_gene_count,unassigned_fraction
EFNA1,346238,68737,414975,0.16564130369299354
APPBP2,271504,68515,340019,0.20150344539569848
NECTIN2,331655,68360,400015,0.1708935914903191
TUBB,167445,68159,235604,0.2892947488158096
KIF5B,220895,68010,288905,0.23540610235198423
THBS1,221858,67350,289208,0.2328773754529612
DDB1,275542,67331,342873,0.1963730010820333
ANKRD40,242537,67199,309736,0.21695573004106722
ITGB1,181914,66990,248904,0.2691399093626458
TOMM7,167707,66693,234400,0.2845264505119454
HNRNPU,266449,66603,333052,0.19997778124737278
LEMD3,357277,66577,423854,0.15707531366932953
SND1,273989,66516,340505,0.19534514911675305
CAPNS1,202767,66307,269074,0.24642663356548755
NQO1,250642,66291,316933,0.20916408199840344
CNIH1,188690,66184,254874,0.2596734072522109
AFF3,358319,66062,424381,0.15566672400508033
RNF187,203542,65632,269174,0.24382741275160305
TXN,217473,65455,282928,0.23134861166091727
TSPAN13,311586,65359,376945,0.17339134356471103
RNF11,157408,65248,222656,0.2930439781546421
HID1,376209,64808,441017,0.14695125131230768
MAP4,163218,64771,227989,0.28409703976946254
MSI2,478141,64650,542791,0.1191066174641805
TAGLN,106820,64635,171455,0.37697938234522177
LAMB1,145528,64530,210058,0.30720086833160365
CDV3,167405,64395,231800,0.27780414150129423
EZR,210016,64208,274224,0.23414434914522433
EPAS1,119523,64127,183650,0.34918050639803977
EPCAM,277965,64014,341979,0.18718693253094487
POSTN,114528,63687,178215,0.35736049154111604
MCCC2,294621,63616,358237,0.17758076357271863
GRN,189566,63528,253094,0.2510055552482477
H2AZ2,225321,63134,288455,0.21886949437520584
CTNND1,407080,63010,470090,0.13403816290497564
LSP1,72935,62961,135896,0.46330281980337906
BRD2,206122,62946,269068,0.2339408625328913
GEM,89392,62743,152135,0.41241660367436817
FUS,297517,62193,359710,0.17289761196519418
CALD1,77935,61803,139738,0.4422776911076443
MSMB,251369,61245,312614,0.19591253110865156
DDX5,292331,60628,352959,0.17177065891505813
S100A13,117051,60445,177496,0.34054288547347544
RAB18,209116,59876,268992,0.2225939804901261
SERPINA1,240546,59337,299883,0.19786716819559627
CTNNA1,189156,59280,248436,0.23861276143554075
SCOC,192432,59186,251618,0.23522164551025762
TPD52,248614,58969,307583,0.1917173575912843
SRP68,235576,58968,294544,0.2002009886468575
CCNG2,230835,58599,289434,0.20246066460747528
ACADSB,223388,58502,281890,0.20753485402107205
TIMP3,202727,58338,261065,0.22346159002547258
COPRS,184545,58303,242848,0.2400802147845566
LRP1,111014,58161,169175,0.34379193143194914
SOX4,200576,58000,258576,0.22430542664439082
CA12,336008,57855,393863,0.1468911778968829
NRIP1,197074,57664,254738,0.22636591321279118
CXXC5,206900,57644,264544,0.21789947985968308
NAPA,207247,57385,264632,0.21684830254844464
ABHD2,328988,57374,386362,0.14849804069758413
PUM2,219384,57346,276730,0.20722726122935714
ROCK1,180808,57092,237900,0.2399831862126944
STT3B,160072,57091,217163,0.2628946920055442
SERINC1,148501,57060,205561,0.27758183702161404
EEIG1,273907,57059,330966,0.1724013947051963
ADAR,203578,56973,260551,0.2186635246074665
CYB561,268712,56903,325615,0.17475546273973866
PPM1A,186617,56901,243518,0.23366239867278804
PERP,232587,56868,289455,0.19646577188163963
CD24,164781,56851,221632,0.25651079266531907
SAT1,177071,56746,233817,0.2426940727149865
GPBP1,185835,56610,242445,0.2334962568830044
DYNLT3,176526,56075,232601,0.24107806931182582
IRX3,235996,55779,291775,0.19117127923913974
AKT1,238030,55667,293697,0.18953887850403647
NFIC,141056,55534,196590,0.28248639300066125
H1-4,112143,55417,167560,0.33072929100023873
NFIX,117085,54994,172079,0.3195857716513927
UBE2H,234966,54989,289955,0.1896466693107551
HNRNPUL1,166432,54917,221349,0.2481014145083104
PTTG1IP,187366,54893,242259,0.2265880730953236
YY1AP1,185530,54876,240406,0.2282638536475795
LAMTOR1,164104,54612,218716,0.24969366667276285
KHDRBS1,172977,54481,227458,0.23952114236474426
SPRY1,96759,54317,151076,0.35953427414016786
RAB25,194749,54287,249036,0.21798856390240767
SPATA20,302720,54010,356730,0.15140302189330868
IGFBP4,111298,53983,165281,0.3266134643425439
ZFP36L2,106926,53864,160790,0.33499595746004107
SLC40A1,125148,53539,178687,0.29962448303458
YIPF3,173420,53474,226894,0.23567833437640484
MAP1LC3B,170086,53065,223151,0.23779862066493093
GHITM,160255,53052,213307,0.2487119503813752
AKR1A1,200905,53022,253927,0.2088080432565265
CCT3,191374,52851,244225,0.21640290715528712
GASK1B,184831,52772,237603,0.22210157279158932
PIK3R1,147846,52769,200615,0.26303616379632627
DDX42,340341,52308,392649,0.13321821779757492
CHAD,235975,52227,288202,0.1812166466575527
UBQLN1,166025,51968,217993,0.23839297592124517
RABEP1,165608,51799,217407,0.23825819775812188
ZNF664,170055,51476,221531,0.23236477061901042
SLC35F5,230221,51436,281657,0.18261928515889894
MCL1,164273,51378,215651,0.2382460549684444
ERRFI1,376650,51217,427867,0.11970308530454557
UBC,125307,50987,176294,0.28921574188571364
TMCO3,232014,50893,282907,0.17989303905523724
RAN,141636,50889,192525,0.26432411375146087
ZKSCAN1,254594,50735,305329,0.1661650219926702
MMP2,55414,50694,106108,0.4777585101971576
KDM2A,223003,50673,273676,0.18515690086087197
APOE,69997,50630,120627,0.41972361080023546
RNF10,148174,50485,198659,0.2541289345058618
STOM,157289,50411,207700,0.24271064034665382
JPT2,201620,50394,252014,0.19996508130500687
RAB11A,170439,50313,220752,0.22791639486844967
HELZ,243299,50288,293587,0.1712882382394316
TBC1D30,286331,50180,336511,0.14911845378011418
GOLPH3,149911,50161,200072,0.25071474269263067
SYF2,112438,49982,162420,0.3077330378032262
ARF6,138715,49821,188536,0.2642519200577078
PIM3,214279,49805,264084,0.18859529543630058
ATP5F1A,166483,49571,216054,0.22943801086765345
KMT2E,179137,49545,228682,0.21665456835255945
CAPN1,224057,49508,273565,0.18097344324018058
CITED2,141589,49463,191052,0.2588981010405544
TSPAN31,220533,49233,269766,0.18250261337603702
NUCB2,185109,49230,234339,0.21008026832921536
YEATS4,211764,49212,260976,0.18856906382196065
ARFGEF1,231839,49186,281025,0.17502357441508762
TGOLN2,198334,49177,247511,0.19868611900077168
LASP1,146236,49025,195261,0.2510742032459119
SLC7A2,207206,48981,256187,0.19119237119760174
CALM2,126862,48885,175747,0.2781555303931219
PDS5A,226765,48850,275615,0.17723999056655118
GLUD1,182765,48823,231588,0.21081834982814307
C1orf21,131150,48764,179914,0.27104060829062776
EIF4EBP2,121357,48691,170048,0.28633679902145276
NUCKS1,133328,48628,181956,0.26725142342104685
CTTN,253516,48369,301885,0.16022326382562896
SCD,177978,48183,226161,0.21304734237998593
UBA1,214551,48110,262661,0.18316384998153515
UBE2Q1,157700,48037,205737,0.23348741354253247
IER3IP1,200991,48005,248996,0.19279426175520892
PCMTD1,167325,47924,215249,0.2226444722158988
IER5,155546,47654,203200,0.23451771653543307
SPAG9,214136,47644,261780,0.18200015280006113
PLPP3,115662,47587,163249,0.29149948851141505
TMX2,223317,47469,270786,0.1753007910305555
IQGAP1,164141,47351,211492,0.22389026535282658
PLEC,201928,47294,249222,0.18976655351453725
MUC1,166441,47270,213711,0.22118655567565543
ANO1,276742,47247,323989,0.14582902505949277
LAMP1,165146,47172,212318,0.2221761697077026
DDAH2,135099,47035,182134,0.2582439302930809
HSPA1B,185506,46812,232318,0.20149966855775273
RANBP2,164664,46630,211294,0.22068776207559135
ARPP19,173045,46578,219623,0.21208161258156022
MAL2,197890,46340,244230,0.18973918028088277
SRSF4,168396,46261,214657,0.2155112574945145
LRRC59,170471,46148,216619,0.21303763751102164
GPX4,115914,46137,162051,0.2847066664198308
EEF1A2,148798,46079,194877,0.236451710566152
GTF2I,213572,46049,259621,0.17737008947658317
NCOR1,192174,45982,238156,0.19307512722753153
CEBPD,114109,45966,160075,0.287152897079494
SFRP1,84758,45890,130648,0.35124915804298573
HAPSTR1,162015,45743,207758,0.22017443371615053
KTN1,179015,45709,224724,0.2034006158665741
CHP1,131560,45659,177219,0.25764167498970203
FARP1,264016,45607,309623,0.14729848880735605
TRPS1,207491,45536,253027,0.1799649839740423
TGFBR2,80624,45411,126035,0.3603046772721863
UBE2D2,139128,45266,184394,0.2454852110155428
GNG12,107609,45141,152750,0.29552209492635023
KANK2,52429,45128,97557,0.4625808501696444
TRIP12,171193,45074,216267,0.20841829775231543
SYT7,275163,45057,320220,0.14070638935731686
CD151,179029,45001,224030,0.20087041914029372
HMG20B,176335,44964,221299,0.20318212011803036
CCDC6,106059,44904,150963,0.29745036863337376
SERPINB6,161773,44866,206639,0.21712261480165893
TPM2,99248,44818,144066,0.31109352657809614
GOLGB1,196279,44790,241069,0.18579742729260088
TAF7,120753,44782,165535,0.27052889117105144
OGA,189485,44756,234241,0.19106817337699208
NME1,191862,44588,236450,0.18857263692112497
GRINA,170444,44512,214956,0.20707493626602655
SRSF2,208764,44403,253167,0.17539015748498027
PRPF8,142588,44293,186881,0.2370117882502769
RNF7,120424,44230,164654,0.2686239022434924
CCNI,124264,44216,168480,0.26244064577397913
CD46,244457,44009,288466,0.15256217370504668
NFKBIZ,370027,43942,413969,0.10614804490191294
CSRP1,104651,43844,148495,0.2952557325162463
CSNK1A1,224744,43828,268572,0.16318901449145853
VDAC2,133881,43808,177689,0.24654311746928623
OST4,94486,43796,138282,0.31671511838127886
KPNB1,181771,43788,225559,0.19413102558532358
TSC22D1,150375,43759,194134,0.22540616275356198
GNB1,136856,43688,180544,0.24197979439914924
ILK,113759,43674,157433,0.27741324881060514
TM9SF2,183902,43628,227530,0.19174614336571003
EIF3A,120596,43619,164215,0.2656212891635965
NES,82783,43571,126354,0.3448327714199788
SCP2,147085,43564,190649,0.2285036900272228
DDX3X,160260,43553,203813,0.21369098143886797
SCCPDH,173301,43511,216812,0.20068538641772596
RACK1,72274,43453,115727,0.37547849680714096
RANBP9,122066,43429,165495,0.2624188041934802
ASH1L,187513,43420,230933,0.1880199018763018
YWHAG,126191,43418,169609,0.25598877418061544
CCN1,110439,43334,153773,0.28180499827668054
TRIM44,123549,43333,166882,0.25966251602929014
RHOH,182906,43307,226213,0.19144346257730546
COG1,209449,43188,252637,0.17094883172298594
TMEM14C,135585,43183,178768,0.24155889197171754
RBM33,154296,43169,197465,0.21861595725824828
FSTL1,53004,43164,96168,0.44883953082106315
LGALS3,69660,43161,112821,0.38256175711968515
ZMIZ1,145163,43092,188255,0.22890228679185148
CAND1,181013,43079,224092,0.19223800938900096
PHF3,143743,43065,186808,0.23053081238490858
NDUFC1,140297,43000,183297,0.2345919464039237
SMARCA2,147333,42996,190329,0.22590356698138486
DHX40,171343,42863,214206,0.20010177119221684
NFE2L2,108776,42856,151632,0.2826316344834863
DEK,113023,42824,155847,0.2747823185560197
NPEPPS,177394,42812,220206,0.19441795409752685
CPSF7,235998,42801,278799,0.15351920200574606
SRPRA,140600,42755,183355,0.2331815330915437
SH3BGRL,72597,42534,115131,0.36944002918414676
DUSP23,153946,42419,196365,0.21602118503806686
ACTG1,111725,42409,154134,0.27514370612583855
TRIM37,199980,42393,242373,0.17490809619883402
CDK16,172690,42290,214980,0.19671597357893758
TBK1,201614,42226,243840,0.17317093175853018
NDFIP1,135760,42195,177955,0.2371105054648647
CTSK,42709,41914,84623,0.4953026954846791
NAP1L4,182715,41869,224584,0.18642913119367363
LAPTM5,59242,41802,101044,0.41370096195716716
OGFRL1,94604,41792,136396,0.306401947271181
RAB5B,114757,41746,156503,0.2667424905592864
PSMB5,164171,41728,205899,0.20266247043453345
CLK1,214129,41727,255856,0.1630878306547433
OSBPL8,178637,41669,220306,0.18914146686880975
PRRC2A,139189,41609,180798,0.23014082014181572
SPINT1,187326,41503,228829,0.1813712422813542
DCAF12,136617,41486,178103,0.23293262887205718
REEP5,151705,41415,193120,0.21445215410107704
C1orf43,131475,41415,172890,0.23954537567239284
PBXIP1,170529,41413,211942,0.1953977975106397
BROX,143396,41295,184691,0.22358967139709027
TLN1,92970,41284,134254,0.3075066664680382
EPS15,134494,41266,175760,0.23478607191624942
MYL6,87645,41255,128900,0.3200543056633049
GRK2,173025,41202,214227,0.19232869806326933
H2AC6,205686,41192,246878,0.16685164332180266
CMTM6,165412,41059,206471,0.1988608569726499
NUMA1,164665,41041,205706,0.19951289704724218
SH3BP5,82084,40941,123025,0.33278601910180855
CPE,106083,40893,146976,0.2782290986283475
CDC42EP4,154935,40881,195816,0.20877252114229686
HSPG2,106457,40864,147321,0.27738068571350993
APEX1,132542,40859,173401,0.23563301249704444
VPS37C,200474,40808,241282,0.16912989779594
ATP6AP1,149622,40743,190365,0.21402568749507525
CUX1,149946,40671,190617,0.21336501990903226
SQSTM1,120307,40418,160725,0.2514730129102504
SAP30BP,200532,40372,240904,0.16758542822036995
EIF4G1,167205,40341,207546,0.19437136827498483
SRSF3,127803,40289,168092,0.23968422054589153
SHROOM3,203839,40274,244113,0.16498097192693548
DNAJC3,154656,40169,194825,0.2061799050429873
LMNA,128615,40140,168755,0.23785961897425262
ZNF24,137246,40009,177255,0.2257143663084257
OAZ1,101048,39946,140994,0.28331702058243613
MAP3K3,184993,39789,224782,0.17701150447989608
LAMTOR2,129204,39685,168889,0.23497681909419796
RUNX1,253122,39649,292771,0.13542666452619967
PRNP,63469,39643,103112,0.38446543564279617
RAB2A,131274,39605,170879,0.2317721896780763
MXI1,126613,39475,166088,0.2376752083232985
ACBD3,136805,39398,176203,0.2235943769402337
HSPA8,108722,39372,148094,0.2658581711615596
BTG2,187790,39280,227070,0.17298630378297442
PTPN12,150938,39275,190213,0.20647905243069611
ADAM15,219043,39096,258139,0.15145328679509876
PJA2,125728,39092,164820,0.23717995388909113
CTSB,82636,38990,121626,0.32057290381990694
ADD3,66847,38953,105800,0.3681758034026465
SMARCA5,149445,38896,188341,0.20651902665909175
EGR1,73572,38875,112447,0.34571842734799507
CD164,154103,38805,192908,0.20115806498434488
C1R,55974,38638,94612,0.4083837145393819
PAIP2,96127,38616,134743,0.286590026940175
POGZ,199205,38578,237783,0.16224036201074088
OS9,133451,38540,171991,0.2240814926362426
PCYOX1,155348,38498,193846,0.19860095127059624
EVA1B,146408,38434,184842,0.20792893390030404
PRPF38B,216779,38358,255137,0.1503427570285768
RAB11FIP1,145927,38324,184251,0.20799887110517717
SELENOS,165112,38298,203410,0.18827982891696574
ELF1,158858,38252,197110,0.194064228095987
PNRC1,88077,38245,126322,0.3027580310634727
LAMTOR5,113531,38239,151770,0.2519536140212163
ITGA6,166973,38149,205122,0.18598200095552891
COPG1,129888,38094,167982,0.22677429724613352
PRPF6,120753,38079,158832,0.23974388032638258
MDH2,127371,38065,165436,0.2300889770062139
ZMYND11,115121,38049,153170,0.24841026310635242
MBNL1,114403,38032,152435,0.2494965067077771
HMGB1,124757,37888,162645,0.23294906083802147
RNF103,159924,37878,197802,0.19149452482785817
SEPHS2,117832,37852,155684,0.24313352688779835
PIGT,153647,37839,191486,0.19760713576971684
HSPB1,98196,37810,136006,0.27800244106877636
SRPX,40738,37584,78322,0.47986517198232936
PAWR,188407,37542,225949,0.166152538847262
SKI,83320,37523,120843,0.3105103315872661
NOTCH2,147131,37517,184648,0.20318118799012175
SLC39A11,199496,37438,236934,0.15801024757949472
ADIPOR1,126104,37430,163534,0.22888206733767902
SLC44A1,140918,37399,178317,0.20973322790311635
TOP2B,110432,37313,147745,0.2525500016921046
HYOU1,150882,37284,188166,0.19814419183061766
SLC39A7,141814,37264,179078,0.2080880956901462
GUCY1A1,169062,37234,206296,0.1804882305037422
PPP3R1,115316,37231,152547,0.2440624856601572
ARL1,116026,37097,153123,0.24226928678252124
MYB,191591,37092,228683,0.1621983269416616
SNX2,101679,37082,138761,0.2672364713428125
SFRP4,32268,37077,69345,0.5346744538178672
NIBAN1,100408,37018,137426,0.26936678648872847
SMAD2,130251,37015,167266,0.22129422596343548
MRFAP1L1,121184,36973,158157,0.23377403466176014
TNS1,60564,36900,97464,0.37860132972174343
SNX1,126241,36889,163130,0.22613253233617361
IFI16,68460,36865,105325,0.3500118680275338
TMEM150C,195271,36716,231987,0.1582674891265459
BRD4,140721,36676,177397,0.2067453226379251
CTSH,131113,36646,167759,0.21844431595324246
MAT2B,103831,36583,140414,0.2605366986197957
HNRNPD,145359,36568,181927,0.20100369928597733
ERGIC3,125866,36518,162384,0.22488668834367917
AHNAK,91142,36280,127422,0.28472320321451555
PSMB4,107167,36256,143423,0.2527906960529343
APRT,100911,36203,137114,0.2640357658590662
AZIN1,105246,36137,141383,0.2555965002864559
PLEKHF2,143502,36125,179627,0.20111119152465942
MEF2D,135260,36074,171334,0.21054781888008217
UBXN6,112963,36027,148990,0.24180817504530505
FIS1,134414,36019,170433,0.21133817981259498
PDGFRA,58608,36014,94622,0.38060916066031153
H1-5,97162,35959,133121,0.2701226703525364
ELK4,108023,35915,143938,0.24951715321874696
RABGAP1,161447,35851,197298,0.18170990075925758
ECHS1,117029,35744,152773,0.2339680440915607
KDM5A,180382,35723,216105,0.16530390319520605
COPB1,155059,35702,190761,0.1871556555061045
BCL2,210242,35687,245929,0.14511098731747782
CELSR2,201890,35649,237539,0.15007640850555068
SON,156874,35635,192509,0.18510822870619037
PPP1R9B,117903,35599,153502,0.23191228778778128
NFE2L1,107701,35533,143234,0.24807657399779381
TPD52L2,133836,35522,169358,0.2097450371402591
FBXL3,112927,35511,148438,0.2392311941686091
CAB39,100959,35501,136460,0.26015682251209143
CD47,144099,35439,179538,0.19738996758346422
NSA2,81843,35394,117237,0.30190127690063717
EP300,136146,35349,171495,0.20612262748185078
IFNGR1,112488,35313,147801,0.23892260539509205
PSMG2,120672,35305,155977,0.2263474743071094
RER1,141005,35105,176110,0.19933564249616717
WDR26,130249,35103,165352,0.21229256374280323
ANXA7,113730,35103,148833,0.23585495152284774
ADCY1,278834,35096,313930,0.11179562322810818
CREG1,93274,35069,128343,0.27324435302275935
YPEL5,98869,35030,133899,0.26161509794696003
FEM1B,129712,35014,164726,0.21255903743185653
ATL3,106474,34962,141436,0.24719307672728302
PRDX2,105132,34954,140086,0.2495181531345031
UBE2I,108561,34922,143483,0.24338771840566478
LMAN2,151251,34913,186164,0.187538944156765
VPS72,123000,34899,157899,0.22102103243212434
SDF4,121897,34882,156779,0.22249153266700258
VMP1,169627,34872,204499,0.17052406124235325
GOSR2,198291,34848,233139,0.14947306113520262
WBP2,129627,34844,164471,0.21185497747323237
PICALM,103529,34841,138370,0.2517959095179591
SUB1,147576,34838,182414,0.19098314822327234
POLR2K,110172,34828,145000,0.24019310344827585
PUM1,137870,34820,172690,0.20163298395969656
GUSB,145057,34814,179871,0.19354982181674646
TNKS1BP1,132839,34810,167649,0.20763619228268584
SUPT5H,123162,34776,157938,0.2201876685788094
EMC10,121551,34728,156279,0.22221795634730193
GRSF1,134050,34722,168772,0.20573317848932288
VAMP8,101636,34661,136297,0.25430493701255347
ISCU,65660,34643,100303,0.3453834880312653
NARS1,123236,34532,157768,0.2188783530246945
CFAP36,111080,34529,145609,0.23713506720051644
WNK1,109642,34478,144120,0.23923119622536776
TOP1,106712,34444,141156,0.24401371532205504
SETD7,122413,34417,156830,0.21945418606134032
RBBP8,152262,34380,186642,0.1842029125277269
TNKS2,161381,34370,195751,0.1755802013782816
DCAF7,155709,34363,190072,0.18078938507512943
H1-0,118998,34278,153276,0.2236357942535035
PPP2R5A,143145,34197,177342,0.19283080150218224
SEC11C,113296,34175,147471,0.2317404777888534
ANKHD1,175155,34158,209313,0.16319101059179314
HNRNPM,118641,34053,152694,0.2230146567645094
CREBL2,85263,34052,119315,0.28539580103088463
MFSD1,127052,34021,161073,0.21121479080913624
TEX2,128609,33963,162572,0.2089105134955589
CHCHD2,100690,33860,134550,0.2516536603493125
MAN1A1,93796,33818,127614,0.2650022724779413
ERBIN,137069,33805,170874,0.19783583225066423
ADD1,129298,33772,163070,0.20710124486416875
COPS2,102725,33769,136494,0.24740281624100693
REEP3,118351,33760,152111,0.22194318622584822
SPARCL1,67431,33730,101161,0.333428890580362
USP32,179531,33676,213207,0.15794978588883105
ARID1A,119032,33661,152693,0.2204488745391079
PAM,91980,33634,125614,0.2677567787030108
ARHGAP1,103313,33578,136891,0.24529004828659298
MMP24OS,118178,33541,151719,0.22107316815955813
UXT,94631,33483,128114,0.2613531698331174
KDSR,116307,33429,149736,0.22325292514826095
SEC23B,123317,33423,156740,0.21323848411381907
GGNBP2,164955,33407,198362,0.16841431322531533
STAT3,122303,33386,155689,0.21444032654843953
COX7C,99145,33304,132449,0.25144772704965684
EIF1,60121,33302,93423,0.3564646821446539
PLP2,115910,33297,149207,0.22315977132440168
RBM3,108737,33229,141966,0.23406308552752067
SPRY2,55690,33187,88877,0.3734036927439045
SDC4,164466,33162,197628,0.16780010929625358
S100A10,63571,33121,96692,0.3425412650477806
APBB2,122823,33094,155917,0.21225395563023916
MBTPS1,144418,33082,177500,0.1863774647887324
ENOPH1,129813,33040,162853,0.20288235402479537
ATP2A2,132094,33028,165122,0.20002180206150605
ACSL3,143127,33002,176129,0.18737402699158004
COL4A1,75575,32939,108514,0.3035460862192897
TMEM165,171322,32897,204219,0.16108687242616995
CD44,85328,32886,118214,0.2781904004601824
SKIC8,118617,32833,151450,0.2167910201386596
FGFR1,112185,32831,145016,0.2263957080598003
UGCG,153540,32776,186316,0.1759161854054402
GSN,49333,32725,82058,0.39880328548100125
SFT2D1,120247,32671,152918,0.21365045318405942
TKT,85205,32658,117863,0.2770844115625769
CLCN3,142484,32649,175133,0.18642403202137803
LRIG1,172042,32633,204675,0.15943813362648102
UBE2J1,93006,32593,125599,0.2595004737298864
DST,169066,32578,201644,0.16156196068318424
ARL8B,121323,32529,153852,0.21143046564230558
ANKRD12,111140,32520,143660,0.2263678128915495
MAPK3,88020,32484,120504,0.2695678151762597
SUMF2,138097,32475,170572,0.1903888094177239
RALB,96738,32445,129183,0.25115533777664245
OPTN,74509,32419,106928,0.3031853209636391
CTNNB1,94935,32375,127310,0.2543005262744482
ARF5,130442,32360,162802,0.19876905689119298
IRX5,141934,32345,174279,0.18559321547633392
SPG21,105401,32333,137734,0.2347495897890136
SMARCD2,127022,32329,159351,0.202879178668474
PCMTD2,167807,32323,200130,0.1615100184879828
MTHFD2,112568,32317,144885,0.22305276598681714
DNAJA4,172661,32304,204965,0.1576073963847486
MED13L,158431,32303,190734,0.16936151918378475
SPIN1,97799,32288,130087,0.24820312560055963
MAX,104867,32287,137154,0.2354069148548347
HERPUD1,108631,32210,140841,0.22869760936091052
ATRAID,107239,32210,139449,0.23098050183221105
CCNY,92234,32207,124441,0.2588134135855546
